"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.67147055435683e-09,3.55004355792019,0.974,0.609,4.88558534980777e-05,"HER2+","ZNG1E"
3.91374813068912e-09,4.03062538574941,0.947,0.609,7.15746258140426e-05,"HER2+","SLIRP"
1.45110601338706e-08,4.23596330457119,0.974,0.609,0.000265378267728226,"HER2+","NDUFB2"
2.86606829810812e-08,3.15271360737593,1,0.652,0.000524146570358014,"HER2+","ELOC"
4.57085743927449e-08,3.21494996534341,0.974,0.522,0.000835918408494518,"HER2+","MICOS13"
5.32635860392441e-08,4.06676878261026,0.947,0.609,0.000974084461485697,"HER2+","TIMM17A"
6.35656190288231e-08,4.66110198093857,0.921,0.391,0.00116248804079912,"HER2+","SYNGR2"
9.12153033877555e-08,3.44900757921419,0.947,0.696,0.00166814546835527,"HER2+","NGRN"
1.00107396858399e-07,4.08333536570037,0.895,0.348,0.0018307640737464,"HER2+","TSPAN6"
1.00420970536439e-07,4.61059565462959,0.947,0.739,0.00183649870917039,"HER2+","CD59"
1.07481672803346e-07,3.82737296554992,0.947,0.696,0.00196562483222759,"HER2+","SMIM14"
1.14629903433448e-07,5.11841605462926,0.947,0.652,0.0020963516739909,"HER2+","TPD52"
1.42969307290467e-07,3.06007834374613,0.921,0.348,0.00261462269172806,"HER2+","POLR2F"
1.48949284216416e-07,2.7393948773487,0.895,0.391,0.00272398450974981,"HER2+","TOMM40"
1.48949284216416e-07,2.35212292430435,0.895,0.391,0.00272398450974981,"HER2+","FMC1"
1.55170834220619e-07,4.35394546419141,0.921,0.348,0.00283776421622668,"HER2+","NME1"
1.60636535217573e-07,3.49511107428902,0.895,0.522,0.00293772095605898,"HER2+","TECR"
2.02028368608298e-07,3.40056436644487,0.947,0.652,0.00369469480510855,"HER2+","CYB5A"
2.54124251660504e-07,5.33048122185472,0.974,0.696,0.00464742431436729,"HER2+","RPLP0"
2.67235677764907e-07,3.27150564321734,0.868,0.391,0.00488720607496461,"HER2+","LOC122455342"
3.25623418370182e-07,3.62849523504285,0.947,0.652,0.00595500107515388,"HER2+","RPL23"
3.45463971663339e-07,3.15453361812228,0.974,0.565,0.00631784511377915,"HER2+","PNPO"
3.45463971663339e-07,4.38284053561042,0.921,0.652,0.00631784511377915,"HER2+","VDAC1"
3.55011394279002e-07,3.28793959145601,0.947,0.522,0.00649244837857439,"HER2+","KRTCAP2"
3.68992288408793e-07,2.98731299078452,1,0.739,0.00674813097042001,"HER2+","RPL38"
4.1549901705337e-07,3.97276143301808,0.921,0.565,0.00759864602387203,"HER2+","EIF3C"
4.28634476839539e-07,3.39725388405002,0.921,0.696,0.00783886731244148,"HER2+","RPL14"
4.31475327674854e-07,3.11325247233744,0.947,0.826,0.00789082079251773,"HER2+","EMC4"
4.34535898753747e-07,3.74709737765451,0.895,0.478,0.00794679251640852,"HER2+","PRXL2A"
4.52528756292851e-07,5.38699614752064,0.921,0.522,0.00827584589508365,"HER2+","ANXA2"
4.89445607234184e-07,2.6828541932435,0.974,0.652,0.00895098126509875,"HER2+","MRPS24"
5.12565966027061e-07,3.31351111414285,0.842,0.348,0.00937380638670289,"HER2+","MRPS15"
5.16226792610758e-07,4.11976155807084,0.868,0.435,0.00944075558326555,"HER2+","SSBP1"
5.20776262177376e-07,2.80253108530608,0.947,0.652,0.00952395628269985,"HER2+","SNRPD1"
5.46556988368429e-07,3.73393647737236,0.895,0.348,0.00999543420328183,"HER2+","ECT2"
5.54705389538667e-07,2.97203134900996,0.868,0.304,0.0101444521638831,"HER2+","UQCRC2"
5.61027225370768e-07,5.16566434802789,0.921,0.609,0.0102600658975806,"HER2+","MGST1"
5.66591317792104e-07,3.57109160661458,0.868,0.478,0.010361822019782,"HER2+","OCIAD2"
5.80578474985777e-07,3.04805893752416,0.895,0.391,0.0106176191505399,"HER2+","SETD7"
5.9473386094751e-07,3.3346733663119,0.974,0.913,0.0108764928490081,"HER2+","RPS20"
6.19438427682283e-07,3.51024794674273,0.921,0.478,0.0113282899654536,"HER2+","SPRING1"
6.67594268502435e-07,3.38063075924585,0.921,0.522,0.0122089639823725,"HER2+","ERGIC3"
6.69310011413324e-07,5.12137807353918,0.868,0.565,0.0122403414887269,"HER2+","CCT3"
7.2121941451279e-07,4.94085005308517,0.921,0.435,0.0131896606526099,"HER2+","PRDX1"
